City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
171,Bambous Virieux,MU,-20.3428,57.7575,78.22,80,14,7.61,few clouds
172,Clarence Town,AU,-32.5833,151.7833,73.56,92,100,1.05,light rain
173,Uspenskoye,RU,44.8311,41.3927,34.93,99,100,4.27,overcast clouds
174,Nizhnevartovsk,RU,60.9344,76.5531,8.62,78,75,13.42,broken clouds
175,Viamao,BR,-30.0811,-51.0233,64.38,82,0,6.91,clear sky
176,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,77.31,86,45,3.04,scattered clouds
177,Morogoro,TZ,-6.8167,37.6667,68.47,95,16,2.06,few clouds
178,Ponta Do Sol,PT,32.6667,-17.1,59.72,72,80,5.32,broken clouds
179,Mormugao,IN,15.4,73.8,81.32,79,56,2.57,broken clouds
180,Kyzyl-Mazhalyk,RU,51.1333,90.6,11.14,78,90,1.54,overcast clouds
181,Synya,RU,65.3718,58.0387,17.87,93,100,9.64,overcast clouds
182,Nossa Senhora Da Gloria,BR,-10.2183,-37.4203,72.46,87,54,4.74,broken clouds
183,Natal,BR,-5.795,-35.2094,75.85,100,75,6.91,broken clouds
184,Muskegon,US,43.3,-86.1334,36.01,94,100,12.66,light rain
185,Qandala,SO,11.472,49.8728,75.22,47,35,0.81,scattered clouds
186,Meulaboh,ID,4.1363,96.1285,83.48,72,30,0.96,scattered clouds
187,Calbuco,CL,-41.768,-73.1273,49.21,88,100,7.9,overcast clouds
188,Eenhana,NA,-17.4667,16.3333,65.17,62,11,4.07,few clouds
189,Strezhevoy,RU,60.7333,77.5889,9.75,86,100,25.19,overcast clouds
190,Saldanha,ZA,-33.0117,17.9442,59.85,80,100,9.57,overcast clouds
191,Keffi,NG,8.8486,7.8736,77.54,20,21,3.83,few clouds
192,Lucapa,AO,-8.4192,20.7447,65.84,97,100,1.74,overcast clouds
193,Panaba,MX,21.2833,-88.2667,65.35,61,42,6.13,scattered clouds
194,Ancud,CL,-41.8697,-73.8203,56.23,92,100,1.52,overcast clouds
195,Nobres,BR,-14.7203,-56.3275,73.31,97,100,3.94,heavy intensity rain
196,Bathsheba,BB,13.2167,-59.5167,77.61,83,40,20.71,scattered clouds
197,Port-Gentil,GA,-0.7193,8.7815,81.63,80,100,8.97,overcast clouds
198,Baghmara,IN,23.795,86.2085,90.86,11,10,2.95,clear sky
199,Pishin,PK,30.5803,66.9961,63.48,20,0,3.27,clear sky
200,Ormara,PK,25.2088,64.6357,80.1,52,0,1.83,clear sky
201,Albanel,CA,48.8832,-72.4487,30.34,93,100,2.3,overcast clouds
202,Pimentel,PE,-6.8367,-79.9342,70.66,79,84,12.03,broken clouds
203,Manoel Urbano,BR,-8.8389,-69.2597,73.4,97,95,1.25,overcast clouds
204,Honningsvag,NO,70.9821,25.9704,24.55,86,75,20.71,light snow
205,Nizwa,OM,22.9333,57.5333,76.15,19,15,1.19,few clouds
206,Northallerton,GB,54.339,-1.4324,50.86,90,14,6.91,haze
207,Hobyo,SO,5.3505,48.5268,79.84,79,100,15.23,moderate rain
208,Woodstock,CA,43.1334,-80.7497,38.66,95,100,5.01,overcast clouds
209,Middle Island,US,40.8843,-72.9373,52.65,65,100,8.05,overcast clouds
210,Kabo,CF,7.6994,18.629,73.35,61,31,0.54,scattered clouds
211,Hearst,CA,49.6835,-83.6665,30.45,96,100,4.63,overcast clouds
212,Les Cayes,HT,18.2,-73.75,74.01,78,54,2.77,broken clouds
213,Kruisfontein,ZA,-34.0033,24.7314,56.88,79,100,3.36,overcast clouds
214,Sokolo,ML,14.7328,-6.1219,85.82,34,6,6.58,clear sky
215,Lucea,JM,18.451,-78.1736,76.86,68,100,4.7,overcast clouds
216,Cadillac,US,44.2519,-85.4012,33.71,93,100,5.75,snow
217,Brigantine,US,39.4101,-74.3646,53.04,58,100,4.61,overcast clouds
218,Montepuez,MZ,-13.1256,38.9997,68.67,97,6,1.28,clear sky
219,Kapuskasing,CA,49.4169,-82.4331,30.29,86,100,4.61,overcast clouds
220,Praia,CV,14.9215,-23.5087,64.94,77,20,5.75,few clouds
221,Sao Filipe,CV,14.8961,-24.4956,69.17,74,1,6.6,clear sky
222,Eskisehir,TR,39.7767,30.5206,33.71,80,75,9.22,broken clouds
223,Nouakchott,MR,18.0858,-15.9785,64.33,81,21,15.39,few clouds
224,Nisia Floresta,BR,-6.0911,-35.2086,76.01,92,99,5.28,overcast clouds
225,Coihaique,CL,-45.5752,-72.0662,50.61,81,0,6.91,clear sky
226,Bonthe,SL,7.5264,-12.505,76.84,92,13,4.7,few clouds
227,Malinovskiy,RU,61.1953,62.8397,14.5,86,95,8.25,overcast clouds
228,Tonj,SS,7.2737,28.6822,75.58,17,5,5.77,clear sky
229,Dhidhdhoo,MV,6.8833,73.1,80.92,68,5,1.72,clear sky
230,Plymouth,US,41.8334,-70.8328,51.66,85,0,6.91,clear sky
231,Idah,NG,7.1065,6.7342,79.68,78,100,3.22,overcast clouds
232,Gurupa,BR,-1.405,-51.64,73.17,98,87,3.0,overcast clouds
233,Letka,RU,59.6011,49.4232,22.71,89,94,11.95,overcast clouds
234,Qaqortoq,GL,60.7167,-46.0333,18.21,86,7,6.42,clear sky
235,Coquimbo,CL,-29.9533,-71.3436,60.53,88,100,3.44,overcast clouds
236,Sabha,LY,27.0377,14.4283,53.83,27,0,15.35,clear sky
237,Tirschenreuth,DE,49.8825,12.3331,40.8,78,0,3.67,clear sky
238,Yacuiba,BO,-22.038,-63.6797,65.5,57,100,3.69,overcast clouds
239,Katete,UG,-0.7818,29.7544,60.35,95,46,2.8,scattered clouds
240,Maldonado,UY,-34.6667,-54.9167,56.59,90,88,6.17,overcast clouds
241,Sohbatpur,PK,28.5202,68.5434,86.02,7,0,4.56,clear sky
242,Thiruvananthapuram,IN,8.4833,76.9167,87.78,62,20,3.44,haze
243,Bakchar,RU,57.0186,82.0711,20.44,84,94,13.4,overcast clouds
244,Millinocket,US,45.6573,-68.7098,37.51,81,100,4.61,overcast clouds
245,Asosa,ET,10.0667,34.5333,66.31,25,2,6.24,clear sky
246,Gueret,FR,46.1667,1.8667,40.78,87,34,3.27,scattered clouds
247,Mpongwe,ZM,-13.5091,28.155,63.43,97,88,1.9,light rain
248,Lujan,AR,-34.5703,-59.105,63.82,94,100,5.99,overcast clouds
249,Victoria,HK,22.2855,114.1577,84.25,89,79,5.99,broken clouds
250,Mineiros,BR,-17.5694,-52.5511,68.74,93,83,1.54,light rain
251,Mali Zvornik,RS,44.3734,19.1065,28.98,64,0,4.0,clear sky
252,Gabu,GW,12.2833,-14.2167,72.25,56,1,3.85,clear sky
253,Tessalit,ML,20.1986,1.0114,80.64,15,82,13.27,broken clouds
254,Carmelo,UY,-33.9892,-58.2856,61.63,94,98,13.85,light rain
255,Usak,TR,38.5,29.4167,38.07,84,100,4.72,overcast clouds
256,La Carolina,ES,38.2756,-3.6153,44.8,91,78,4.79,broken clouds
257,Talnakh,RU,69.4865,88.3972,18.21,77,100,9.13,overcast clouds
258,Baie-Comeau,CA,49.2168,-68.1489,28.08,100,100,18.41,light snow
259,Peniche,PT,39.3558,-9.3811,56.44,83,70,13.8,broken clouds
260,Dingle,PH,10.9995,122.6711,89.28,50,22,13.15,few clouds
261,Korcula,HR,42.9622,17.1369,56.44,57,26,5.46,scattered clouds
262,Margate,GB,51.3813,1.3862,46.69,83,0,1.99,clear sky
263,Letychiv,UA,49.3826,27.6305,35.58,83,5,8.55,clear sky
264,Muscat,OM,23.6139,58.5922,75.22,37,3,5.1,clear sky
265,Bayshore Gardens,US,27.4253,-82.5904,68.99,65,0,6.91,clear sky
266,La Vega,DO,19.2221,-70.5296,74.28,85,16,4.03,few clouds
267,Nanortalik,GL,60.1432,-45.2371,25.29,85,5,4.61,clear sky
268,Thinadhoo,MV,0.5333,72.9333,83.17,66,4,10.63,clear sky
269,Mayor Pablo Lagerenza,PY,-19.9309,-60.7718,62.73,47,100,3.09,overcast clouds
270,Garowe,SO,8.4054,48.4845,69.04,79,100,5.06,overcast clouds
271,Cumberland,US,35.0502,-78.8664,61.14,41,0,12.66,clear sky
272,Belyy Yar,RU,53.6039,91.3903,31.89,50,0,8.95,clear sky
273,Bembereke,BJ,10.2283,2.6634,77.83,20,53,5.3,broken clouds
274,Sorland,NO,67.667,12.6934,34.72,62,96,36.53,light snow
275,Funadhoo,MV,6.15,73.2667,81.09,65,0,1.1,clear sky
276,Bolobo,CD,-2.1667,16.2333,73.99,90,100,0.89,overcast clouds
